title,years,link
"Bust of an African Woman,",c. 1630,"https://media.nga.gov/iiif/6131087a-740d-4c53-8299-e59d3e67350c/full/!588,600/0/default.jpg"
"Jacob's Ladder,",1655,"https://media.nga.gov/iiif/4be64303-ab30-4054-8a20-ac7e6fd1e271/full/!588,600/0/default.jpg"
"The Circumcision in the Stable,",1654,"https://media.nga.gov/iiif/ef1bdc33-b638-4b4e-b78f-730089d3aa8e/full/!588,600/0/default.jpg"
"David in Prayer,",1652,"https://media.nga.gov/iiif/77f8dcf9-c9c3-4418-b932-06c95032f833/full/!588,600/0/default.jpg"
"Landscape with a Square Tower,",1650,"https://media.nga.gov/iiif/9311879a-5f27-4163-810c-13982b65ff4e/full/!588,600/0/default.jpg"
"Jews in the Synagogue,",1648,"https://media.nga.gov/iiif/50738edc-719e-4f8e-aa4c-81553558d6fe/full/!588,600/0/default.jpg"
"Three Heads of Women, One Asleep,",1637,"https://media.nga.gov/iiif/65af7712-37ef-4634-af4b-14fb3d0d63bd/full/!588,600/0/default.jpg"
"Samuel Menasseh ben Israel,",1636,"https://media.nga.gov/iiif/eadc49ee-9051-4f1a-b02a-1d8b26e08f99/full/!588,600/0/default.jpg"
"The Quacksalver,",1635,"https://media.nga.gov/iiif/b10fcc41-89df-4042-9033-ad0b89620be5/full/!588,600/0/default.jpg"
"The Stoning of Saint Stephen,",1635,"https://media.nga.gov/iiif/253c2bf5-e2a2-49ae-b764-99828a3d8073/full/!588,600/0/default.jpg"
"Christ at Emmaus: the Smaller Plate,",1634,"https://media.nga.gov/iiif/41e416fb-c8a1-4191-a379-f575d2625c81/full/!588,600/0/default.jpg"
"Self-Portrait in a Cap, Open-Mouthed,",1630,"https://media.nga.gov/iiif/ea65ac9f-a975-4196-a53a-14af47a2595f/full/!588,600/0/default.jpg"
"Old Woman Sleeping,",c. 1635/1637,"https://media.nga.gov/iiif/f59af45a-08e9-4187-aa4c-5eb3ab99ede9/full/!588,600/0/default.jpg"
